"q2","q3","q4","q6","q7","q7_7_text","q19","q12","q12_5_text","q13","q14","q14_12_text","q57","q15","q20","q16","q11","q11_9_text","q17","q40_1","q41","q42","q43","q121","q46_1","q47","q48","q49","q122","q51_1","q52","q53","q54","q123","q23_1","q24","q25","q26","q124","q34_1","q35","q36","q37","q125","q28_1","q29","q30","q31","q126","age","male","educ","married","white","race","preference","sexuality","straight","trans","religion","religiosity","ideo5","partyid","viewer_party","democrat_respondent","partisan_id","poli_interest","employment","employed","income","treatment","same_party"
1979,"Male","Some college, but no degree (yet)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Independent","Most of the time","Working part time now",NA,"Prefer not to say",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,"Probably","Very probably","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1,3,0,1,11,2,3,1,0,2,1,4,2,1,0,1,4,9,0,NA,2,0
1969,"Male","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Slightly important","Very liberal","Democrat","Most of the time","Working full time now",NA,"Prefer not to say",NA,NA,NA,NA,NA,25,"Possibly","Probably not","Probably not","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,1,6,1,1,11,2,3,1,0,10,2,5,1,0,1,0,4,8,1,NA,1,0
1984,"Female","4-year college degree","Never married","Other (Please Specify):","multiracial","Men","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Not at all important","Very liberal","Democrat","Most of the time","Working full time now",NA,"$80,000 - $89,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,"Probably","Probably","Possibly","Probably not",34,0,5,0,0,10,1,3,1,0,9,1,5,1,0,1,0,4,8,1,9,2,1
1989,"Male","Some college, but no degree (yet)","Never married","Black or African-American",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Liberal","Independent","Some of the time","Unemployed",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,70,"Possibly","Probably","Probably not","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1,3,0,0,2,2,3,1,0,1,1,4,2,1,0,1,3,7,0,5,1,1
1976,"Female","4-year college degree","Married","White",NA,"Women","Lesbian/gay woman",NA,"No","Agnostic",NA,"Not at all important","Liberal","Democrat","Most of the time","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,"Definitely","Definitely","Very probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,0,5,1,1,11,2,4,0,0,1,1,4,1,0,1,0,4,8,1,6,2,1
1983,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Hardly at all","Working full time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"Very probably","Probably","Possibly","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,5,0,1,11,2,3,1,0,2,1,4,1,0,1,0,1,8,1,7,2,1
1970,"Male","Some college, but no degree (yet)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Liberal","Democrat","Most of the time","Working part time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,85,"Very probably","Very probably","Probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,3,0,1,11,2,3,1,0,2,1,4,1,0,1,0,4,9,0,4,1,0
1993,"Female","4-year college degree","Domestic/civil partnership","White",NA,"Men","Bisexual",NA,"No","Atheist",NA,"Not at all important","Very liberal","Democrat","Most of the time","Student",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,"Definitely","Definitely","Definitely","Very probably",NA,NA,NA,NA,NA,25,0,5,0,1,11,1,1,0,0,2,1,5,1,0,1,0,4,4,0,7,1,0
1992,"Male","4-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Slightly important","Moderate","Democrat","Only now and then","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,"Very probably","Possibly","Probably not","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,5,1,1,11,2,3,1,0,11,2,3,1,0,1,0,2,8,1,5,2,1
2000,"Female","Some college, but no degree (yet)","Never married","Black or African-American",NA,"Men","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Moderately important","Liberal","Democrat","Some of the time","Student",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,"Probably","Probably","Possibly","Probably",18,0,3,0,0,2,1,3,1,0,11,3,4,1,0,1,0,3,4,0,3,2,1
1984,"Female","4-year college degree","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Slightly important","Liberal","Democrat","Most of the time","Working full time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,"Probably","Possibly","Possibly","Probably",NA,NA,NA,NA,NA,34,0,5,0,1,11,1,3,1,0,11,2,4,1,0,1,0,4,8,1,7,1,0
1992,"Male","4-year college degree","Never married","Black or African-American",NA,"Women","Heterosexual/straight",NA,"No","Something else","Christian","Moderately important","Liberal","Democrat","Most of the time","Taking care of home or family",NA,"Less than $10,000",NA,NA,NA,NA,NA,56,"Possibly","Probably not","Possibly","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,5,0,0,2,2,3,1,0,12,3,4,1,0,1,0,4,5,0,1,1,0
1985,"Male","4-year college degree","Married","Asian or Asian-American",NA,"Women","Heterosexual/straight",NA,"No","Hindu",NA,"Extremely important","Conservative","Democrat","Some of the time","Working full time now",NA,"$70,000 - $79,999",78,"Very probably","Very probably","Definitely","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1,5,1,0,1,2,3,1,0,5,5,2,1,0,1,0,3,8,1,8,0,NA
1993,"Male","4-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Very important","Conservative","Republican","Most of the time","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,100,"Definitely","Definitely","Definitely","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1,5,1,1,11,2,3,1,0,11,4,2,3,2,0,2,4,8,1,6,1,NA
1975,"Male","4-year college degree","Domestic/civil partnership","White",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Very important","Conservative","Republican","Most of the time","Working full time now",NA,"$70,000 - $79,999",75,"Probably","Probably","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1,5,0,1,11,2,3,1,0,11,4,2,3,2,0,2,4,8,1,8,0,NA
1968,"Male","High school graduate","Divorced","White",NA,"Women","Heterosexual/straight",NA,"No","Something else","Hermeticist","Moderately important","Very liberal","Democrat","Most of the time","Working full time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,70,"Definitely not","Definitely not","Definitely not","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,2,0,1,11,2,3,1,0,12,3,5,1,0,1,0,4,8,1,4,1,0
1978,"Female","4-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Slightly important","Liberal","Democrat","Only now and then","Taking care of home or family",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,"Very probably","Very probably","Probably","Very probably",40,0,5,1,1,11,1,3,1,0,10,2,4,1,0,1,0,2,5,0,8,2,1
1974,"Female","Some college, but no degree (yet)","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Something else","Born again Christian","Extremely important","Very conservative","Republican","Some of the time","Taking care of home or family",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,"Definitely","Definitely","Very probably","Probably",NA,NA,NA,NA,NA,44,0,3,1,1,11,1,3,1,0,12,5,1,3,2,0,2,3,5,0,7,1,NA
1994,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Moderate","Independent","Some of the time","Working full time now",NA,"$100,000 - $119,999",100,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,5,0,1,11,2,3,1,0,2,1,3,2,1,0,1,3,8,1,11,0,NA
1948,"Female","Some college, but no degree (yet)","Divorced","White",NA,"Men","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Not at all important","Moderate","Independent","Most of the time","Working full time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,"Probably not","Probably not","Probably not","Possibly",NA,NA,NA,NA,NA,70,0,3,0,1,11,1,3,1,0,9,1,3,2,1,0,1,4,8,1,4,1,1
1949,"Male","4-year college degree","Divorced","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Very important","Very conservative","Republican","Most of the time","Retired",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,100,"Definitely","Definitely","Very probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,1,5,0,1,11,2,3,1,0,10,4,1,3,2,0,2,4,3,0,8,1,NA
1994,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Liberal","Democrat","Most of the time","Unemployed",NA,"$120,000 - $149,999",90,"Definitely","Definitely","Very probably","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,5,0,1,11,2,3,1,0,1,1,4,1,0,1,0,4,7,0,12,0,NA
1984,"Male","Some college, but no degree (yet)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Conservative","Republican","Most of the time","Working full time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Possibly","Possibly","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,3,0,1,11,2,3,1,0,1,1,2,3,2,0,2,4,8,1,4,2,NA
1987,"Male","High school graduate","Never married","Black or African-American",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Liberal","Independent","Most of the time","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,"Probably not","Probably not","Definitely not","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,2,0,0,2,2,3,1,0,1,1,4,2,1,0,1,4,8,1,6,2,0
1974,"Male","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Conservative","Republican","Most of the time","Working full time now",NA,"$250,000 - $349,999",NA,NA,NA,NA,NA,80,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1,6,0,1,11,2,3,1,0,10,5,2,3,2,0,2,4,8,1,15,1,NA
1995,"Female","4-year college degree","Never married","Black or African-American",NA,"Men","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Liberal","Democrat","Some of the time","Working full time now",NA,"$90,000 - $99,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Probably not","Possibly","Possibly","Probably",NA,NA,NA,NA,NA,23,0,5,0,0,2,1,3,1,0,1,1,4,1,0,1,0,3,8,1,10,1,0
1984,"Male","High school graduate","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Not at all important","Moderate","Independent","Only now and then","Working part time now",NA,"$10,000 - $19,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,"Possibly","Possibly","Probably not","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,2,0,1,11,2,3,1,0,9,1,3,2,1,0,1,2,9,0,2,2,0
1984,"Female","Some college, but no degree (yet)","Never married","White",NA,"Women","Lesbian/gay woman",NA,"No","Agnostic",NA,"Not at all important","Liberal","Democrat","Most of the time","Working full time now",NA,"$10,000 - $19,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"Definitely","Definitely","Very probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,0,3,0,1,11,2,4,0,0,1,1,4,1,0,1,0,4,8,1,2,2,1
1992,"Male","Some college, but no degree (yet)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Moderately important","Moderate","Republican","Most of the time","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"Possibly","Possibly","Possibly","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,3,0,1,11,2,3,1,0,10,3,3,3,2,0,2,4,8,1,5,2,NA
1992,"Male","2-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Moderately important","Liberal","Democrat","Only now and then","Working full time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,"Possibly","Possibly","Possibly","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,4,0,1,11,2,3,1,0,1,3,4,1,0,1,0,2,8,1,4,2,1
1982,"Male","4-year college degree","Married","Native American",NA,"Women","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Slightly important","Very liberal","Democrat","Only now and then","Working full time now",NA,"$40,000 - $49,999",100,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,5,1,0,9,2,3,1,0,11,2,5,1,0,1,0,2,8,1,5,0,NA
1969,"Female","Some college, but no degree (yet)","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Moderately important","Moderate","Republican","Only now and then","Working full time now",NA,"$80,000 - $89,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,"Very probably","Very probably","Very probably","Possibly",49,0,3,1,1,11,1,3,1,0,11,3,3,3,2,0,2,2,8,1,9,2,NA
1979,"Female","Some college, but no degree (yet)","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Mormon",NA,"Moderately important","Conservative","Republican","Some of the time","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,"Definitely","Definitely","Definitely","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,0,3,1,1,11,1,3,1,0,7,3,2,3,2,0,2,3,8,1,5,0,NA
1958,"Female","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Married","Asian or Asian-American",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Moderately important","Liberal","Democrat","Most of the time","Retired",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"Probably","Probably","Possibly","Probably",60,0,6,1,0,1,1,3,1,0,10,3,4,1,0,1,0,4,3,0,5,2,1
1996,"Female","Some college, but no degree (yet)","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Very liberal","Democrat","Some of the time","Working full time now",NA,"$10,000 - $19,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"Definitely","Definitely","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,3,0,1,11,1,3,1,0,2,1,5,1,0,1,0,3,8,1,2,0,NA
1989,"Female","4-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Very important","Liberal","Democrat","Only now and then","Working full time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,"Probably","Very probably","Very probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0,5,1,1,11,1,3,1,0,10,4,4,1,0,1,0,2,8,1,4,0,NA
1983,"Male","High school graduate","Married","White,Middle Eastern",NA,"Women","Heterosexual/straight",NA,"No","Nothing in particular",NA,"Slightly important","Moderate","Independent","Some of the time","Working full time now",NA,"$30,000 - $39,999",NA,NA,NA,NA,NA,93,"Probably","Probably","Probably","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,2,1,0,21,2,3,1,0,9,2,3,2,1,0,1,3,8,1,4,1,1
1970,"Female","Some college, but no degree (yet)","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Extremely important","Conservative","Republican","Some of the time","Working full time now",NA,"$50,000 - $59,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,"Very probably","Very probably","Possibly","Possibly",NA,NA,NA,NA,NA,48,0,3,1,1,11,1,3,1,0,10,5,2,3,2,0,2,3,8,1,6,1,NA
1993,"Female","2-year college degree","Never married","White",NA,"Women","Lesbian/gay woman",NA,"No","Nothing in particular",NA,"Not at all important","Very liberal","Democrat","Most of the time","Working part time now",NA,"$10,000 - $19,999",75,"Possibly","Possibly","Probably not","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,4,0,1,11,2,4,0,0,9,1,5,1,0,1,0,4,9,0,2,0,NA
1967,"Male","4-year college degree","Married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Very important","Moderate","Independent","Most of the time","Working full time now",NA,"$20,000 - $29,999",92,"Definitely","Definitely","Definitely","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1,5,1,1,11,2,3,1,0,10,4,3,2,1,0,1,4,8,1,3,0,NA
1964,"Female","Some college, but no degree (yet)","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Moderately important","Conservative","Republican","Most of the time","Taking care of home or family",NA,"$150,000 - $199,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,"Probably","Probably","Probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,0,3,1,1,11,1,3,1,0,10,3,2,3,2,0,2,4,5,0,13,0,NA
1970,"Female","2-year college degree","Divorced","White",NA,"Men","Heterosexual/straight",NA,"No","Agnostic",NA,"Slightly important","Moderate","Independent","Some of the time","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,"Possibly","Possibly","Probably not","Probably not",NA,NA,NA,NA,NA,48,0,4,0,1,11,1,3,1,0,1,2,3,2,1,0,1,3,8,1,5,1,1
1969,"Female","4-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Moderately important","Very conservative","Republican","Some of the time","Working part time now",NA,"$90,000 - $99,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,"Very probably","Very probably","Very probably","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,0,5,1,1,11,1,3,1,0,10,3,1,3,2,0,2,3,9,0,10,0,NA
1983,"Female","2-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Buddhist",NA,"Not at all important","Liberal","Democrat","Only now and then","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,"Probably","Very probably","Very probably","Definitely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,0,4,1,1,11,1,3,1,0,3,1,4,1,0,1,0,2,8,1,5,0,NA
1969,"Female","2-year college degree","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Conservative","Republican","Some of the time","Working full time now",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"Definitely not","Definitely not","Definitely not","Probably not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,0,4,1,1,11,1,3,1,0,1,1,2,3,2,0,2,3,8,1,3,0,NA
1989,"Male","4-year college degree","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Liberal","Democrat","Most of the time","Working full time now",NA,"$60,000 - $69,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"Definitely","Definitely","Definitely","Definitely not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,1,5,0,1,11,2,3,1,0,1,1,4,1,0,1,0,4,8,1,7,2,1
1979,"Male","Did not graduate from high school","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Agnostic",NA,"Not at all important","Moderate","Independent","Some of the time","Working full time now",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,60,"Probably","Probably","Possibly","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1,1,0,1,11,2,3,1,0,1,1,3,2,1,0,1,3,8,1,3,1,1
1967,"Female","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Not at all important","Moderate","Independent","Hardly at all","Taking care of home or family",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,"Very probably","Very probably","Very probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,0,6,1,1,11,1,3,1,0,11,1,3,2,1,0,1,1,5,0,5,0,NA
1998,"Male","Some college, but no degree (yet)","Never married","White",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Moderately important","Conservative","Republican","Most of the time","Student",NA,"$150,000 - $199,999",80,"Very probably","Very probably","Very probably","Very probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,3,0,1,11,2,3,1,0,10,3,2,3,2,0,2,4,4,0,13,0,NA
1978,"Male","4-year college degree","Divorced","White",NA,"Men","Heterosexual/straight",NA,"No","Atheist",NA,"Not at all important","Moderate","Independent","Most of the time","Working full time now",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,"Probably","Probably","Possibly","Probably",40,1,5,0,1,11,1,3,1,0,2,1,3,2,1,0,1,4,8,1,8,2,0
1953,"Female","Some college, but no degree (yet)","Married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Very important","Conservative","Republican","Most of the time","Retired",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,"Probably not","Probably not","Probably not","Possibly",65,0,3,1,1,11,1,3,1,0,10,4,2,3,2,0,2,4,3,0,8,2,NA
1982,"Male","2-year college degree","Never married","White",NA,"Men","Heterosexual/straight",NA,"No","Protestant",NA,"Very important","Very conservative","Republican","Some of the time","Unemployed",NA,"$20,000 - $29,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,"Definitely not","Definitely not","Definitely not","Definitely",NA,NA,NA,NA,NA,36,1,4,0,1,11,1,3,1,0,10,4,1,3,2,0,2,3,7,0,3,1,NA
1973,"Female","Some college, but no degree (yet)","Never married","Black or African-American",NA,"Men","Heterosexual/straight",NA,"No","Roman Catholic",NA,"Very important","Liberal","Democrat","Some of the time","Working full time now",NA,"$40,000 - $49,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,"Very probably","Very probably","Probably","Definitely",NA,NA,NA,NA,NA,45,0,3,0,0,2,1,3,1,0,11,4,4,1,0,1,0,3,8,1,5,1,0
1968,"Female","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Divorced","White",NA,"Men","Heterosexual/straight",NA,"Yes","Atheist",NA,"Not at all important","Liberal","Democrat","Most of the time","Working full time now",NA,"$70,000 - $79,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,"Definitely not","Definitely not","Definitely not","Possibly",NA,NA,NA,NA,NA,50,0,6,0,1,11,1,3,1,1,2,1,4,1,0,1,0,4,8,1,8,1,0
1974,"Male","4-year college degree","Never married","Asian or Asian-American",NA,"Women","Heterosexual/straight",NA,"No","Protestant",NA,"Very important","Very conservative","Republican","Most of the time","Working part time now",NA,"Less than $10,000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"Definitely not","Definitely not","Definitely not","Possibly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1,5,0,0,1,2,3,1,0,10,4,1,3,2,0,2,4,9,0,1,2,NA
1973,"Male","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)","Separated","White",NA,"Women","Heterosexual/straight",NA,"No","Something else",NA,"Extremely important","Liberal","Independent","Most of the time","Working full time now",NA,"$90,000 - $99,999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,"Very probably","Probably","Possibly","Probably",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,1,6,0,1,11,2,3,1,0,12,5,4,2,1,0,1,4,8,1,10,2,0
